machine_id,os_type,duree_connexion,nombre_requetes,volume_donnees,statut_connexion
M1381,linux,124.84171282287119,80,464.2093000955391,success
M996,linux,203.39924272260814,212,696.5908744299338,Succes
M1411,macos,71.0995026862237,213,430.46209900987606,Success
M1448,windows,150.11807917682245,216,341.4917270387713,Fail
M1448,Andriod,182.8370345969048,79,259.87376829481747,Succes
M167,Andriod,143.47998244995398,224,289.31132458956796,Success
M127,Windows,113.24245193193217,198,312.95355748237455,Failed
M1247,Android,110.82015994819216,168,679.2860730798614,success
M1338,Windows,145.6613086503058,234,424.5172344209975,Succes
M162,MacOS,156.6101952662626,258,601.2618172886779,fail
M1279,windows,162.46896358223358,280,492.6084171444241,Succes
M1005,macos,165.25916798195678,116,694.7183574594776,Failed
M275,Android,160.6692250898414,90,576.8091421922279,fail
M398,windows,147.5158849606701,168,464.76063067894336,Fail
M1127,Android,174.38769821485647,198,514.1090316715156,fail
M346,Linus,784.0,181,714.2885338552924,success
M1470,linux,96.67817757175146,139,452.8366083342265,fail
M1047,Linux,77.87823441714164,138,602.0253386775805,Succes
M1377,linux,88.95111888272896,142,356.11271221368827,Failed
M200,Linus,103.00941528723341,241,497.1549194747965,Succes
M293,Andriod,81.9039163758711,260,3527.0,fail
M1199,windows,65.91182204163624,213,519.1819120259672,Failed
M1250,linux,137.81277543905247,152,564.9375440100988,Failed
M1171,Android,129.17317766009091,145,197.20377787546693,Fail
M1408,MacOS,,215,476.3341419426327,success
M835,windows,157.9608117182651,169,353.96581739331475,Failed
M808,Android,,70,617.6885895901727,Fail
M577,windos,105.66537243013263,180,516.8440732885185,Fail
M1450,MacOS,109.97088311587352,287,488.9030621763088,Fail
M1349,windows,145.236299517676,255,459.4824991961339,Fail
M1023,MacOS,166.13863314449074,87,850.8917713359908,fail
M686,Windows,,128,341.8532996308494,Success
M96,Linux,185.7969151255415,139,583.8435088278421,Fail
M934,Android,,146,345.2151279582046,Fail
M405,Andriod,75.53227560945031,216,395.99988447124673,Failed
M652,windos,183.01729576759817,158,403.27779260333034,fail
M1494,Windows,153.4532972413038,213,527.1768788121058,success
M1242,MacOS,83.4017162777051,247,370.5857709469713,Failed
M918,macos,107.13018434467502,284,836.585712322831,Success
M21,Android,92.6712890188666,239,469.2962831624941,success
M321,windos,104.55250936361901,274,574.5051985304904,Fail
M663,macos,81.78456200626427,184,619.5213237464717,Success
M432,Linux,59.09252825878481,206,544.5293408811226,Fail
M313,Android,96.10363774428917,257,534.5475102104359,Success
M807,Andriod,144.58343134073058,202,254.98039886530373,Succes
M1131,linux,145.02161682106865,193,242.217941287036,Fail
M1499,Linus,97.51513702231705,145,293.98747332089107,Fail
M733,Windows,131.1941970616513,157,,Failed
M1170,Linux,151.03803682530562,199,556.8568014200015,success
M784,Andriod,74.81126942851874,119,5534.0,Fail
M917,linux,123.5371568312512,245,577.8641444150926,success
M1053,windows,113.27677888783751,243,569.4834957796081,success
M1492,Linux,126.65039717746343,282,691.7295979486126,Failed
M359,Linus,141.80708919289413,264,325.67573366533367,fail
M656,Android,68.59213805261854,213,552.6003413982731,fail
M827,windos,87.46046843791262,175,584.2139593520786,fail
M364,Linux,112.20126866854868,249,207.75076589900908,Succes
M41,windos,142.4979131176109,232,387.90097220725045,Fail
M383,MacOS,146.34776490720589,191,589.9575799152327,Success
M1296,Linus,45.4541568659979,144,594.5167409215408,Fail
M1415,windows,138.42097717470614,218,381.85371022178504,fail
M1427,Android,1046.0,163,648.8424891979183,Succes
M411,Linux,157.1885272449353,147,301.05812003993697,success
M917,linux,144.5474430192735,252,3324.0,success
M802,Linus,151.92524786365357,143,,Success
M626,macos,199.3068817559347,189,237.03105159799048,Fail
M1122,Linux,110.2872601498579,242,519.5658169006161,Succes
M1105,windows,95.87683752408341,234,505.83147271381955,Succes
M489,Linus,118.11099050489194,235,238.00979681625358,success
M865,windos,78.70524109962854,161,504.6030638719104,success
M391,linux,,248,291.4330436605694,success
M920,windos,803.0,203,552.7982056747604,Fail
